source_file,title,gov_tier,doc_type,jurisdiction,year,issuer,chunk_count,edge_count,tier_label
85.The Transition to a Circular Built Environment in Australia An Analysis of the Jurisdictional Policy Framework.pdf,The Transition to a Circular Built Environment in Australia: An Analysis of the Jurisdictional Policy Framework,Academic,Report,AU-National,2023,University of Melbourne / Deakin University,8,53,Non-Government (Academic / Research)
88.Building a more circular Australia.pdf,Building a More Circular Australia,Industry-NGO,Report,AU-National,2023,Green Building Council of Australia (GBCA),7,43,Non-Government (Industry / NGO)
44.The_Transition_to_a_Circular_Built_Environment_in_.pdf,The Transition to a Circular Built Environment,Academic,Report,International,2022,Environmental Policy and Law (journal),7,49,Non-Government (Academic / Research)
"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf",The Current State and Digital Evolution of the Demolition Industry in NSW and QLD,Academic,Report,Multi-state,2023,University of New South Wales,6,74,Non-Government (Academic / Research)
55.australias-circular-economy-framework-2024.pdf,Australia's Circular Economy Framework 2024,Federal,Framework,AU-National,2024,Australian Government (DCCEEW),6,49,Federal
72.Circular-Precincts-Australia-1.pdf,Circular Precincts Australia,Industry-NGO,Report,AU-National,2022,Green Building Council of Australia / Arup,5,37,Non-Government (Industry / NGO)
70.The Reuse Playbook - Circular Buildings design.pdf,The Reuse Playbook: Circular Buildings — Design,Industry-NGO,Guidance,International,2023,"Alliance for Sustainable Building Products (ASBP), UK",5,53,Non-Government (Industry / NGO)
68.ACT-Circular-Economy-Strategy-access.pdf,ACT Circular Economy Strategy,State-Territory,Strategy,ACT,2022,ACT Government,4,25,State / Territory
91.A case study of construction and demolition waste management process flow in mega infrastructure projects in Australia.pdf,A Case Study of C&D Waste Management Process Flow in Mega Infrastructure Projects in Australia,Academic,Case Study,AU-National,2023,University / Research institution,4,21,Non-Government (Academic / Research)
28.Development of the circular economy design guidelines for the Australian built environment sector.pdf,Development of the Circular Economy Design Guidelines for the Australian Built Environment Sector,Academic,Report,AU-National,2022,RMIT University,4,35,Non-Government (Academic / Research)
29.Construction and Demolition Waste Guide Recycling and Re-use Across the Supply Chain.pdf,Construction and Demolition Waste Guide: Recycling and Re-use Across the Supply Chain,Federal,Guidance,AU-National,2012,"Department of Sustainability, Environment, Water, Population and Communities",4,39,Federal
42.feasibility-of-deconstruction.pdf,Feasibility of Deconstruction,Academic,Report,AU-National,2024,CRC for Low Carbon Living,3,30,Non-Government (Academic / Research)
40.CIOB Response to DECC Circular Economy Consultation.pdf,CIOB Response to DECC Circular Economy Consultation,Industry-NGO,Report,International,2023,"Chartered Institute of Building (CIOB), UK",3,37,Non-Government (Industry / NGO)
63.Building A Circular Economy.pdf,Building a Circular Economy,Industry-NGO,Report,International,2021,World Green Building Council,3,16,Non-Government (Industry / NGO)
"30.Australia Construction Demolition Waste Recycling Market Size, Share, Price, Growth, Forecast 2025-2033.pdf","Australia Construction Demolition Waste Recycling Market Size, Share, Price, Growth, Forecast 2025–2033",Consultancy,Market Analysis,AU-National,2024,IMARC Group,2,23,Non-Government (Consultancy / Commercial)
22.national-waste-report-2020.pdf,National Waste Report 2020,Federal,Report,AU-National,2020,DCCEEW / Blue Environment,2,10,Federal
75.Case-Study-1-1-ATCO-SL.pdf,Case Study: ATCO Smart Living — Deconstruction and Reuse,Industry-NGO,Case Study,WA,2021,ATCO / Industry partner,2,17,Non-Government (Industry / NGO)
49.RV_Circular-Economy-Market-Report-2025_2.pdf,Circular Economy Market Report 2025,State-Territory,Report,VIC,2025,Recycling Victoria,2,12,State / Territory
1.national-waste-and-resource-recovery-report-2024.pdf,National Waste and Resource Recovery Report 2024,Federal,Report,AU-National,2024,"Department of Climate Change, Energy, the Environment and Water (DCCEEW)",1,3,Federal
19.Circular Economy Resource Recovery Report 2021-22.pdf,Circular Economy Resource Recovery Report 2021–22,State-Territory,Report,VIC,2022,Sustainability Victoria,1,8,State / Territory
21.Waste-Feasibility-Study_roadmap.pdf,Waste Feasibility Study: Roadmap,Federal,Report,AU-National,2020,Australian Government,1,3,Federal
"26.uilt environment sector 'primed to take on circularity,' report finds.pdf",Built Environment Sector 'Primed to Take on Circularity' Report Finds,Industry-NGO,News-Commentary,AU-National,2022,Green Building Council of Australia (GBCA),1,9,Non-Government (Industry / NGO)
73.Building better a circular future for the built environment.pdf,Building Better: A Circular Future for the Built Environment,Industry-NGO,Report,International,2021,World Business Council for Sustainable Development (WBCSD),1,3,Non-Government (Industry / NGO)
50.Australia's circular economy Unlocking the oppertunities Inquiry report.pdf,Australia's Circular Economy: Unlocking the Opportunities (Inquiry Report),Federal,Inquiry,AU-National,2024,Senate Standing Committees on Environment and Communications,0,0,Federal
